Date,Open,High,Low,Close,Adj Close,Volume
2018-02-21,49.869999,50.340000,49.430000,49.430000,44.995934,13050800
2018-02-22,49.590000,50.060001,49.410000,49.590000,45.141579,9513200
2018-02-23,49.790001,50.570000,49.619999,50.500000,45.969944,8866800
2018-02-26,50.590000,51.259998,50.500000,51.169998,46.579849,12956000
2018-02-27,51.070000,51.400002,50.540001,50.730000,46.179314,14339600
2018-02-28,51.060001,51.500000,50.669998,50.669998,46.124710,14947900
2018-03-01,50.959999,50.959999,49.419998,49.709999,45.250816,16539800
2018-03-02,49.330002,50.400002,49.160000,50.320000,45.806091,17291000
2018-03-05,49.900002,51.490002,49.849998,51.290001,46.689083,18771500
2018-03-06,51.560001,51.790001,51.220001,51.500000,46.880253,13907100
2018-03-07,51.060001,51.810001,51.029999,51.720001,47.080513,11727300
2018-03-08,51.939999,52.160000,51.470001,52.130001,47.453735,15864400
2018-03-09,52.349998,53.000000,52.200001,52.970001,48.218372,16218600
2018-03-12,52.980000,53.439999,52.669998,52.900002,48.154659,14108400
2018-03-13,53.240002,53.480000,52.340000,52.580002,47.863369,12864400
2018-03-14,52.880001,53.150002,52.180000,52.320000,47.626686,10885500
2018-03-15,52.220001,52.669998,52.110001,52.369999,47.672199,14155200
2018-03-16,52.400002,52.689999,52.250000,52.270000,47.581165,21011500
2018-03-19,52.430000,52.580002,51.509998,51.950001,47.289890,25777400
2018-03-20,46.799999,47.750000,46.430000,47.049999,42.829422,68601000
2018-03-21,47.290001,48.060001,47.009998,47.020000,42.802124,34597700
2018-03-22,46.720001,47.020000,45.730000,45.889999,41.773479,25610100
2018-03-23,45.980000,46.279999,44.759998,44.790001,40.772148,21398900
2018-03-26,45.549999,46.639999,45.389999,46.480000,42.310558,20754800
2018-03-27,46.630001,46.820000,45.000000,45.380001,41.309242,18925300
2018-03-28,45.279999,45.360001,44.509998,44.980000,40.945126,22156900
2018-03-29,45.310001,46.290001,45.009998,45.750000,41.646046,14256400
2018-04-02,45.650002,45.849998,44.419998,45.009998,40.972416,15343300
2018-04-03,45.330002,45.330002,44.290001,44.889999,40.863194,15734600
2018-04-04,44.070000,45.619999,44.040001,45.509998,41.427574,18505900
2018-04-05,45.730000,46.180000,45.549999,45.959999,41.837196,12313000
2018-04-06,45.509998,45.750000,44.599998,44.830002,40.808563,13893600
2018-04-09,45.110001,45.650002,44.880001,44.900002,40.872288,15200000
2018-04-10,45.549999,46.070000,45.459999,45.820000,41.709766,14868900
2018-04-11,45.400002,45.990002,45.360001,45.610001,41.518597,14911400
2018-04-12,45.689999,46.169998,45.650002,45.880001,41.764378,13970300
2018-04-13,46.310001,46.529999,45.610001,46.080002,41.946442,12493600
2018-04-16,46.029999,46.389999,45.599998,46.049999,42.092690,11639000
2018-04-17,46.410000,46.930000,46.389999,46.660000,42.650272,10762700
2018-04-18,46.680000,47.290001,46.680000,47.080002,43.034176,11312900
2018-04-19,46.990002,47.110001,46.700001,46.820000,42.796524,8563200
2018-04-20,46.470001,46.619999,45.980000,46.230000,42.257221,15675600
2018-04-23,46.380001,46.470001,45.720001,45.799999,41.864170,14904400
2018-04-24,45.930000,46.369999,45.279999,45.529999,41.617374,13357000
2018-04-25,45.419998,45.840000,45.049999,45.750000,41.818470,12637500
2018-04-26,46.090000,46.209999,45.900002,45.959999,42.010414,12175800
2018-04-27,46.119999,46.119999,45.470001,45.529999,41.617374,14420800
2018-04-30,45.660000,46.020000,45.560001,45.669998,41.745346,13896600
2018-05-01,45.389999,45.950001,45.389999,45.950001,42.001278,8838000
2018-05-02,45.889999,46.080002,45.470001,45.509998,41.599106,10715200
2018-05-03,45.360001,45.389999,44.490002,45.060001,41.187759,15370200
2018-05-04,44.930000,45.919998,44.799999,45.709999,41.781902,10571800
2018-05-07,45.939999,46.240002,45.779999,46.070000,42.110977,9006000
2018-05-08,45.880001,45.990002,45.549999,45.939999,41.992146,9830600
2018-05-09,46.230000,46.680000,45.980000,46.580002,42.577145,11822400
2018-05-10,46.799999,47.099998,46.610001,46.930000,42.897072,10974200
2018-05-11,47.110001,47.150002,46.639999,46.820000,42.796524,9498100
2018-05-14,46.810001,47.259998,46.689999,46.820000,42.796524,9689500
2018-05-15,46.509998,46.820000,46.250000,46.810001,42.787376,11304900
2018-05-16,46.930000,46.930000,46.450001,46.730000,42.714252,9874200
2018-05-17,46.689999,47.060001,46.419998,46.540001,42.540581,10162300
2018-05-18,46.689999,46.790001,46.240002,46.320000,42.339489,13517300
2018-05-21,46.529999,47.290001,46.490002,47.209999,43.153008,13416300
2018-05-22,47.240002,47.540001,46.310001,46.369999,42.385189,18505100
2018-05-23,46.080002,46.970001,46.020000,46.900002,42.869640,9204400
2018-05-24,46.660000,46.939999,46.139999,46.459999,42.467457,12497700
2018-05-25,46.490002,47.169998,46.480000,47.000000,42.961056,11354300
2018-05-29,46.549999,46.799999,46.040001,46.259998,42.284649,12427800
2018-05-30,46.630001,47.230000,46.430000,47.049999,43.006760,11906500
2018-05-31,46.930000,47.169998,46.709999,46.720001,42.705109,13062400
2018-06-01,47.080002,47.360001,46.900002,47.349998,43.280975,10863200
2018-06-04,47.480000,47.570000,47.230000,47.320000,43.253536,12178400
2018-06-05,47.330002,47.419998,46.810001,47.130001,43.079880,13430900
2018-06-06,47.419998,47.810001,47.099998,47.750000,43.646599,13299100
2018-06-07,47.930000,48.029999,47.419998,47.680000,43.582623,13714100
2018-06-08,47.410000,48.380001,47.410000,48.180000,44.039646,14515400
2018-06-11,48.150002,48.389999,47.970001,48.189999,44.048786,12521100
2018-06-12,48.209999,48.590000,48.160000,48.450001,44.286442,14713600
2018-06-13,48.110001,48.669998,48.090000,48.270000,44.121922,18053300
2018-06-14,47.009998,47.020000,45.660000,45.900002,41.955574,37001300
2018-06-15,45.869999,46.490002,45.189999,46.279999,42.302917,28120400
2018-06-18,45.820000,46.599998,45.459999,46.520000,42.522297,21474100
2018-06-19,45.840000,46.410000,45.770000,46.270000,42.293785,22764900
